iter	Passed	Remaining
470	703	790
471	704	788
472	706	786
473	707	785
474	708	783
475	709	781
476	710	779
477	713	778
478	714	777
479	716	775
480	717	774
481	718	772
482	719	770
483	721	769
484	722	767
485	723	765
486	724	763
487	725	761
488	728	761
489	729	759
490	731	757
491	732	755
492	733	754
493	734	752
494	735	750
495	737	748
496	738	747
497	739	745
498	740	743
499	742	742
500	744	741
501	745	739
502	746	737
503	747	735
504	748	734
505	750	732
506	751	730
507	752	729
508	754	727
509	755	725
510	756	723
511	758	722
512	759	721
513	761	719
514	762	717
515	763	716
516	765	714
517	766	713
518	767	711
519	769	709
520	771	709
521	773	708
522	774	706
523	776	704
524	777	703
525	778	701
526	779	699
527	780	698
528	782	696
529	783	694
530	784	692
531	785	691
532	787	689
533	788	687
534	789	686
535	790	684
536	791	682
537	792	680
538	794	679
539	795	677
540	796	675
541	797	674
542	798	672
543	800	670
544	801	669
545	803	667
546	804	666
547	805	664
548	807	663
549	808	661
550	810	660
551	811	658
552	812	657
553	814	655
554	816	654
555	817	652
556	818	651
557	820	649
558	821	647
559	822	646
560	823	644
561	825	643
562	826	641
563	828	640
564	829	638
565	831	637
566	832	635
567	833	633
568	834	632
569	835	630
570	837	628
571	838	627
572	839	625
573	840	623
574	841	622
575	843	620
576	844	619
577	846	617
578	847	616
579	848	614
580	849	612
581	850	611
582	852	609
583	853	607
584	854	606
585	855	604
586	856	602
587	857	601
588	859	599
589	860	597
590	861	596
591	862	594
592	864	593
593	865	591
594	866	589
595	867	588
596	868	586
597	869	584
598	870	583
599	872	581
600	873	580
601	875	578
602	876	576
603	877	575
604	878	573
605	879	571
606	880	569
607	881	568
608	882	566
609	883	564
610	884	563
611	885	561
612	886	559
613	888	558
614	889	556
615	890	555
616	891	553
617	892	551
618	893	550
619	894	548
620	895	546
621	896	545
622	898	543
623	899	541
624	900	540
625	901	538
626	902	537
627	904	535
628	905	533
629	906	532
630	907	530
631	908	529
632	909	527
633	910	525
634	912	524
635	913	522
636	914	521
637	915	519
638	917	518
639	918	516
640	919	514
641	920	513
642	921	511
643	923	510
644	924	508
645	925	507
646	926	505
647	927	504
648	929	502
649	930	500
650	931	499
651	932	497
652	933	496
653	935	494
654	936	493
655	937	491
656	938	489
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	944	480
663	946	478
664	947	477
665	948	475
666	949	474
667	950	472
668	951	470
669	953	469
670	954	467
671	955	466
672	956	464
673	957	463
674	958	461
675	960	460
676	961	458
677	962	457
678	964	455
679	965	454
680	966	452
681	968	451
682	969	449
683	970	448
684	971	446
685	972	445
686	973	443
687	975	442
688	976	440
689	978	439
690	979	437
691	980	436
692	981	434
693	982	433
694	984	431
695	985	430
696	986	428
697	988	427
698	990	426
699	991	424
700	992	423
701	994	422
702	995	420
703	996	419
704	998	417
705	999	416
706	1000	414
707	1001	413
708	1003	411
709	1005	410
710	1006	408
711	1007	407
712	1008	406
713	1009	404
714	1010	402
715	1012	401
716	1013	399
717	1014	398
718	1015	396
719	1016	395
720	1018	393
721	1019	392
722	1021	391
723	1022	389
724	1023	388
725	1024	386
726	1027	385
727	1028	384
728	1030	382
729	1032	381
730	1034	380
731	1036	379
732	1037	377
733	1038	376
734	1040	375
735	1042	373
736	1044	372
737	1045	371
738	1048	370
739	1050	369
740	1051	367
741	1052	366
742	1054	364
743	1056	363
744	1057	361
745	1058	360
746	1060	359
747	1062	357
748	1063	356
749	1064	354
750	1067	353
751	1068	352
752	1070	350
753	1071	349
754	1072	347
755	1073	346
756	1074	344
757	1076	343
758	1077	342
759	1079	341
760	1081	339
761	1082	338
762	1083	336
763	1085	335
764	1086	333
765	1087	332
766	1088	330
767	1091	329
768	1093	328
769	1095	327
770	1096	325
771	1097	324
772	1098	322
773	1100	321
774	1101	319
775	1102	318
776	1103	316
777	1105	315
778	1107	314
779	1109	312
780	1110	311
781	1111	309
782	1112	308
783	1114	306
784	1115	305
785	1116	303
786	1117	302
787	1120	301
788	1121	299
789	1123	298
790	1124	297
791	1125	295
792	1126	294
793	1128	292
794	1129	291
795	1130	289
796	1132	288
797	1133	286
798	1135	285
799	1137	284
800	1138	282
801	1139	281
802	1140	279
803	1142	278
804	1143	276
805	1144	275
806	1145	274
807	1146	272
808	1149	271
809	1151	270
810	1152	268
811	1153	267
812	1154	265
813	1156	264
814	1157	262
815	1158	261
816	1159	259
817	1161	258
818	1163	257
819	1165	255
820	1167	254
821	1168	253
822	1169	251
823	1171	250
824	1172	248
825	1174	247
826	1175	245
827	1176	244
828	1179	243
829	1181	241
830	1182	240
831	1183	239
832	1184	237
833	1186	236
834	1188	234
835	1189	233
836	1190	231
837	1193	230
838	1196	229
839	1197	228
840	1199	226
841	1201	225
842	1204	224
843	1207	223
844	1210	221
845	1212	220
846	1213	219
847	1215	217
848	1217	216
849	1218	215
850	1220	213
851	1223	212
852	1225	211
853	1227	209
854	1229	208
855	1230	207
856	1232	205
857	1233	204
858	1234	202
859	1236	201
860	1238	199
861	1240	198
862	1241	197
863	1243	195
864	1244	194
865	1246	192
866	1247	191
867	1248	189
868	1250	188
869	1253	187
870	1254	185
871	1255	184
872	1257	182
873	1258	181
874	1259	179
875	1261	178
876	1262	177
877	1264	175
878	1266	174
879	1269	173
880	1271	171
881	1272	170
882	1274	168
883	1275	167
884	1277	165
885	1278	164
886	1281	163
887	1282	161
888	1284	160
889	1286	159
890	1287	157
891	1289	156
892	1291	154
893	1294	153
894	1295	152
895	1297	150
896	1298	149
897	1299	147
898	1300	146
899	1301	144
900	1303	143
901	1304	141
902	1305	140
903	1308	138
904	1309	137
905	1311	136
906	1312	134
907	1313	133
908	1314	131
909	1315	130
910	1317	128
911	1318	127
912	1319	125
913	1321	124
914	1323	122
915	1324	121
916	1325	119
917	1326	118
918	1328	117
919	1329	115
920	1330	114
921	1332	112
922	1334	111
923	1335	109
924	1337	108
925	1339	107
926	1340	105
927	1344	104
928	1346	102
929	1347	101
930	1348	99
931	1350	98
932	1353	97
933	1354	95
934	1356	94
935	1359	92
936	1360	91
937	1362	90
938	1364	88
939	1369	87
940	1371	86
941	1374	84
942	1375	83
943	1377	81
944	1378	80
945	1381	78
946	1383	77
947	1384	75
948	1386	74
949	1387	73
950	1389	71
951	1391	70
952	1393	68
953	1394	67
954	1396	65
955	1398	64
956	1400	62
957	1402	61
958	1404	60
959	1407	58
960	1409	57
961	1411	55
962	1414	54
963	1415	52
964	1417	51
965	1419	49
966	1422	48
967	1424	47
968	1426	45
969	1455	45
970	1457	43
971	1459	42
972	1461	40
973	1463	39
974	1465	37
975	1467	36
976	1469	34
977	1471	33
978	1473	31
979	1475	30
980	1477	28
981	1478	27
982	1480	25
983	1481	24
984	1483	22
985	1485	21
986	1486	19
987	1488	18
988	1489	16
989	1490	15
990	1492	13
991	1494	12
992	1496	10
993	1500	9
994	1502	7
995	1504	6
996	1505	4
997	1507	3
998	1509	1
999	1511	0
